City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
210,Pokhara,NP,76.62,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
223,San Patricio,US,83.17,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
226,Kloulklubed,PW,72.1,moderate rain,7.0419,134.2556,Storyboard Beach Resort
229,Port Moresby,PG,84.6,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
237,Port Blair,IN,79.72,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
239,Umm Lajj,SA,80.78,clear sky,25.0213,37.2685,Moon light Furnished Units
240,Thinadhoo,MV,83.16,overcast clouds,0.5333,72.9333,
241,Annau,TM,70.5,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
244,Marsa Matruh,EG,71.92,clear sky,31.3525,27.2453,Beau Site
245,Manggar,ID,84.24,few clouds,-2.8833,108.2667,Guest Hotel
250,Tuy Hoa,VN,81.41,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
251,Disa,IN,80.8,clear sky,24.25,72.1667,Hotel hinglaj
252,Kalianget,ID,81.88,light rain,-7.05,113.9333,Pesanggrahan Garam
257,Daru,PG,82.38,few clouds,-9.0763,143.2092,Daru Lodge
265,Sijunjung,ID,76.66,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
268,Ponce,PR,80.06,overcast clouds,18.073,-66.6185,Motel Golden Hills
270,Teahupoo,PF,78.76,broken clouds,-17.8333,-149.2667,Vanira Lodge
275,Coruripe,BR,77.02,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
279,That Phanom,TH,80.71,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
280,Abu Kamal,SY,75.79,clear sky,34.4506,40.9171,البوكمال
284,Nieuw Amsterdam,SR,80.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
286,Nara,JP,73.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
287,Mae Hong Son,TH,81.14,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
292,Callaway,US,79.0,scattered clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
293,La Asuncion,VE,79.27,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
296,Dehui,CN,72.79,broken clouds,44.5333,125.7,Chunyi Hotel
297,Bria,CF,70.57,overcast clouds,6.5423,21.9863,WFP Guesthouse
298,Hobyo,SO,79.29,clear sky,5.3505,48.5268,Iftin hotel hobyo
299,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
302,Praya,CV,73.33,overcast clouds,14.9215,-23.5087,LT Aparthotel
303,Yangjiang,CN,74.5,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
305,Guanica,PR,82.51,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
311,Sarangani,PH,83.05,broken clouds,5.4033,125.4636,Ballistic Islet
313,Matara,LK,79.02,few clouds,5.9485,80.5353,Amaloh Boutique Resort
314,San Policarpo,PH,82.31,overcast clouds,12.1791,125.5072,Agapita M. Nicart
317,Aden,YE,86.88,broken clouds,12.7794,45.0367,Sama Emirate Hotel
320,Ati,TD,85.3,overcast clouds,13.2154,18.3353,
321,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
322,Luanda,AO,72.81,clear sky,-8.8368,13.2343,EPIC SANA Luanda
323,Blackwater,AU,70.54,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
328,Kavieng,PG,84.47,light rain,-2.5744,150.7967,Nusa Island Retreat
330,Russell,US,83.8,clear sky,32.3502,-85.1999,Macs
332,Nisia Floresta,BR,76.01,light rain,-6.0911,-35.2086,Rancho Crepusculo
335,Riohacha,CO,82.69,overcast clouds,11.5444,-72.9072,Hotel Taroa
336,Kavaratti,IN,82.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
337,Sibolga,ID,80.67,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
338,Bajil,YE,86.49,few clouds,15.0584,43.2851,فندق حضرموت
339,Auki,SB,85.03,few clouds,-8.7676,160.7034,Auki Motel
344,Seydi,TM,72.3,clear sky,39.4816,62.9137,Seydi oteli
347,Touros,BR,78.51,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
348,Mackay,AU,78.67,broken clouds,-21.15,149.2,International Lodge Motel
350,Formosa Do Rio Preto,BR,71.2,broken clouds,-11.0483,-45.1931,Porto Center Hotel
352,Honolulu,US,78.62,overcast clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
359,Kathu,TH,87.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
362,Namatanai,PG,83.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
364,Fuyu,CN,72.25,scattered clouds,45.1833,124.8167,Education Hostel
366,Jinchang,CN,70.56,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
371,Pundaguitan,PH,82.67,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
373,Portoferraio,IT,73.11,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
375,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
377,Lincoln,US,79.9,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
378,Koubia,GN,74.59,broken clouds,11.5833,-11.9,Hôtel Mbalou Koubia
386,Alugan,PH,82.44,overcast clouds,12.2188,125.4808,JM Lodge
390,Hambantota,LK,80.1,clear sky,6.1241,81.1185,Bungalow 63
391,Kameda,JP,81.91,clear sky,37.8667,139.1167,Hotel Business Inn Niigata Minami
392,Dawlatabad,AF,73.27,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
393,Carutapera,BR,77.63,overcast clouds,-1.195,-46.02,Lidera
395,Bonthe,SL,79.57,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
397,Abeokuta,NG,76.87,overcast clouds,7.15,3.35,Park Inn by Radisson
401,Kharan,PK,82.9,clear sky,28.5833,65.4167,Dil Aram Bangla
402,Myitkyina,MM,73.0,broken clouds,25.3833,97.4,Shwe Phyu Hotel
403,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
407,Sinnamary,GF,78.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
408,Iralaya,HN,80.04,overcast clouds,15.0,-83.2333,Iglesia morava renovada
409,Sabang,ID,83.26,overcast clouds,5.8933,95.3214,Hotel Citra
410,Bluefields,NI,78.19,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
414,Nishihara,JP,78.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
416,Puerto Escondido,MX,84.04,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
417,Voh,NC,84.74,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
419,Buala,SB,85.68,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
421,Antalaha,MG,70.36,light rain,-14.9003,50.2788,Hotel Vitasoa
423,Hue,VN,77.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
424,Bubaque,GW,78.6,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
425,Honiara,SB,87.28,few clouds,-9.4333,159.95,Heritage Park Hotel
426,Pringsewu,ID,79.34,overcast clouds,-5.3582,104.9744,Urban Style by Front One
427,Ambulu,ID,80.8,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
429,Bull Savanna,JM,76.44,broken clouds,17.8868,-77.5902,Big Red's
432,Riacho De Santana,BR,73.24,overcast clouds,-13.6092,-42.9389,Casa Nogueira
435,Bintulu,MY,81.61,overcast clouds,3.1667,113.0333,900 Boutique INN
440,Lazaro Cardenas,MX,81.37,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
444,Sao Jose Da Coroa Grande,BR,77.86,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
446,Omboue,GA,77.95,overcast clouds,-1.5746,9.2618,Hotel Olako
448,Nuevo Ideal,MX,78.82,overcast clouds,24.8875,-105.0728,Hotel Las Águilas
451,Sorong,ID,82.89,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
456,Nizwa,OM,81.16,clear sky,22.9333,57.5333,Orient Apartments
457,Sao Filipe,CV,76.69,overcast clouds,14.8961,-24.4956,Hotel Xaguate
462,Ferkessedougou,CI,75.6,overcast clouds,9.6,-5.2,Hotel Chateau
470,Abu Dhabi,AE,80.96,haze,24.4667,54.3667,Beach Rotana
475,Tarimoro,MX,81.63,overcast clouds,20.2833,-100.75,Auto Lavado Privado
477,Yenangyaung,MM,86.18,few clouds,20.4667,94.8833,Hotel Country
481,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
483,Maraa,BR,70.86,light rain,-1.8333,-65.3667,
485,Karaton,ID,79.45,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
487,Maragogi,BR,77.09,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
490,Popondetta,PG,82.49,few clouds,-8.7537,148.2534,Timos Transit House
491,Lahij,YE,83.05,few clouds,13.1667,44.5833,
492,Tessalit,ML,88.12,overcast clouds,20.1986,1.0114,
495,Kawalu,ID,78.82,broken clouds,-7.3817,108.2082,West Jontor
496,Mayumba,GA,78.12,overcast clouds,-3.432,10.6554,LIKWALE LODGE
499,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
501,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
502,Nouakchott,MR,75.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
503,Jasper,US,82.54,scattered clouds,37.2001,-94.3502,Guest House Motel
504,Simbahan,PH,82.65,few clouds,6.3032,120.5836,
505,Yaan,NG,76.8,overcast clouds,7.3833,8.5667,
507,Balingasay,PH,82.98,overcast clouds,16.3573,119.8564,Rock Garden Resort
509,Mecca,SA,85.19,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
512,Kijang,KR,73.02,overcast clouds,35.2442,129.2139,Samyang Beach Villa
516,Kapit,MY,81.91,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
519,Timbiqui,CO,75.27,moderate rain,2.7717,-77.6654,Hotel Sharey
520,Khorramshahr,IR,84.15,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
522,Guhagar,IN,81.05,overcast clouds,17.4842,73.1929,Hotel Seawinds
