City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Te Anau,NZ,-45.4167,167.7167,48.74,81,100,12.3,overcast clouds
80,Dingle,PH,10.9995,122.6711,84.63,74,59,8.95,broken clouds
81,Paamiut,GL,61.994,-49.6678,34.65,80,5,2.75,clear sky
82,East London,ZA,-33.0153,27.9116,76.26,36,6,13.67,clear sky
83,Rangia,IN,26.4667,91.6333,75.15,90,56,9.42,broken clouds
84,Roald,NO,62.5833,6.1333,52.72,87,51,3.44,broken clouds
85,Cockburn Town,TC,21.4612,-71.1419,79.88,87,77,13.76,broken clouds
86,Hobart,AU,-42.8794,147.3294,56.26,63,75,12.66,broken clouds
87,Old Town,CZ,50.087,14.4202,55.29,67,8,7.0,clear sky
88,Bowen,AU,-20.0167,148.2333,77.76,70,14,11.92,few clouds
89,Karratha,AU,-20.7377,116.8463,75.49,71,3,9.35,clear sky
90,Svetlaya,RU,46.5389,138.3297,57.02,44,12,12.55,few clouds
91,Qaanaaq,GL,77.484,-69.3632,27.34,87,99,5.06,overcast clouds
92,Carnarvon,AU,-24.8667,113.6333,70.27,64,53,10.07,broken clouds
93,Bredasdorp,ZA,-34.5322,20.0403,58.3,73,100,14.41,light rain
94,Darnah,LY,32.767,22.6367,65.82,87,5,14.7,clear sky
95,Thaba-Tseka,LS,-29.522,28.6084,40.57,82,7,3.78,clear sky
96,Marsh Harbour,BS,26.5412,-77.0636,78.91,76,4,10.74,clear sky
97,Manitouwadge,CA,49.1215,-85.8403,41.61,97,100,4.41,overcast clouds
98,Severo-Kurilsk,RU,50.6789,156.125,48.16,80,100,5.99,overcast clouds
99,Sucua,EC,-2.4667,-78.1667,66.58,100,100,1.57,overcast clouds
100,Bethel,US,41.3712,-73.414,61.86,52,100,1.48,overcast clouds
101,Kruisfontein,ZA,-34.0033,24.7314,59.88,79,100,6.91,overcast clouds
102,Yar-Sale,RU,66.8333,70.8333,33.12,77,73,16.62,broken clouds
103,Gamba,GA,-2.65,10.0,77.67,85,100,8.14,overcast clouds
104,Kahului,US,20.8947,-156.47,82.42,66,20,6.91,few clouds
105,Chalus,IR,36.655,51.4204,64.2,76,4,3.22,clear sky
